,bus,vm_pu,va_degree,p_mw,q_mvar
1,1,1,0,-29.2553888,-17.95680288
2,2,0.985163433,-0.31245258,2,1.6
3,3,0.980763423,-0.303987434,4,2.7
4,4,0.986564464,-0.187003909,1,0.9
5,5,0.979204986,-0.482805527,2,0.8
6,6,0.976841969,-0.544611225,3,1.5
7,7,0.978500678,-0.468848903,1.5,1.2
8,8,0.970764753,-0.618997047,5,3
9,9,0.964746602,-0.823943832,4.5,2
10,10,0.97501061,-0.573194541,0.6,0.1
11,11,0.981319963,-0.280871407,1,0.9
12,12,0.982296855,-0.270101153,1,0.7
13,13,0.981080666,-0.357323015,1,0.9
14,14,0.979414414,-0.404625252,2.1,1
